beta,gamma,alpha,l
0.14113733149856525,0.029954882931926687,0.47924836199752363,0.4077359239914552
0.09595999517704787,0.04057459364683469,0.29328963430168253,0.15445689957584008
0.05526690674129995,0.03255519579686775,0.4078273301095998,0.1318065538524711
0.059193966568827805,0.029213885070991208,0.8312268553561342,0.480330262786794
0.1786442764899136,0.03973968046126252,0.9372372193945877,0.6858039838025191
0.1315231197883639,0.032079797498269495,0.6250376611961957,0.66926776424193
0.10736696422134706,0.028522732153741938,0.1686249268694604,0.4832671932541506
0.08814270930842023,0.029387088430263178,0.48633424441809636,0.3425410010536072
0.15206423500764035,0.04288453555379686,0.1837625261910023,0.43810799826384395
0.15426309892298473,0.05292984910733285,0.43192527010665094,0.18050385408749225
0.07099009625789947,0.028781673562098743,0.3122213443529236,0.3524493165167112
0.09288409843623234,0.024165717866092506,0.8684716649154901,0.8686035102851594
0.19682150234295742,0.04227567284614497,0.5908940834961681,0.43361305529629546
0.09348531701180816,0.029319261631104748,0.2869551883185889,0.4935199026377758
0.06498677683391287,0.03788296910747325,0.18116345740097228,0.5403223831916532
0.1317156525130739,0.02397602966472898,0.7779917599755042,0.504745114183424
0.12305665628894909,0.0490897413355851,0.5502782093327946,0.6810451306357946
0.08688469783620066,0.02876337633091667,0.7017033525674023,0.7204604523427731
0.15460878801155276,0.03224034717281456,0.4780300145183579,0.35582204164454045
0.2201271580422323,0.043840181488634396,0.7516090104942925,0.50146627489007
0.1313355369225719,0.027271969370083207,0.7757365849390762,0.7695563230716107
0.12769481038954825,0.02887277935631305,0.9234947318488901,0.8885834831526311
0.09182625459056555,0.02076080491956208,0.46395298354934833,0.807527530376753
0.13365454480241648,0.02317676479509269,0.1684389327102489,0.9756011410028177
0.077656052547744,0.033181379375509926,0.27937040236988686,0.05814304299188988
0.19515652084521753,0.04599184066702376,0.09909167356339632,0.5561394908338795
0.0711324180158381,0.045019646251701614,0.07650779516690831,0.13596990169663592
0.15604898813473925,0.030485613942018663,0.9970568308123074,0.5243007023373683
0.08250704260868968,0.014249662757632675,0.9316636474179443,0.4126532252215377
0.08619797458850782,0.02875369002953644,0.02677264226860765,0.1490304782583517
0.05707873384317252,0.020472064265922595,0.5106324301793715,0.42775570174769706
0.10227200319340886,0.047945966420695346,0.8962572072184091,0.8983801358167692
0.06688179196159777,0.044141703796745285,0.3486831842696504,0.7428512981620262
0.060362303017165324,0.03434197424352223,0.8791904049148004,0.98239659479344
0.06856254066148919,0.027820253622508836,0.38050635647177744,0.45638762777902353
0.18261085635930108,0.035149366584089424,0.50758049819283,0.3411716803198944
0.02203866894607414,0.021225405213497785,0.7549938654990015,0.43064023008642327
0.16123843313006125,0.04220072270533443,0.23473355800227413,0.4200654820518406
0.12033394805467035,0.02364871374688677,0.7012200597739249,0.5196744839685297
0.16757469200890912,0.04434346036833416,0.14747555546314473,0.9561764197825519
0.13166865584583176,0.02603261840571569,0.5452208163211287,0.6932620504207051
0.08582363015610023,0.02017159792990612,0.31632823999179627,0.42807329347117495
0.0970763015865711,0.02330894360671129,0.2188386475596774,0.2799700454767725
0.19420724184503343,0.0331506156107648,0.0010622004881041258,0.48933807459874257
0.24313019371549138,0.04397280415962744,0.18597704139960192,0.5008238154180933
0.16443561783276414,0.0287700490260301,0.40908148999729954,0.06292481745794765
0.1254486316480826,0.034672697229704695,0.05602538555889092,0.2936921418780476
0.03869159296980539,0.018663068944242148,0.33560153459539555,0.10536997981729757
0.2283318004707314,0.04027603214022407,0.08260643844240156,0.9543383058230226
0.10601535396357209,0.031052276513539537,0.06965453419245415,0.49344209358366287
0.17532440497928659,0.03618417250721921,0.13231162749780723,0.943441704513711
0.0839565844980524,0.03932912575642298,0.13047352677606783,0.9177048594543323
0.22478173954598116,0.03917596247257661,0.6598027928183368,0.8307216792814892
0.06228510717471781,0.04531627976395604,0.15605125611011172,0.5290855556880985
0.15768467638264932,0.02798114032024512,0.5557894231501359,0.9400158924791311
0.06489210188576887,0.03549010335670678,0.5308851562964825,0.5778486173449238
