beta,gamma,alpha,l
0.041826486680834385,0.008472369138508296,0.4812085284085639,0.28512857390395085
0.04928080681643289,0.01703357741046594,0.3075571287598148,0.739527301358966
0.05011081577892704,0.017634121541177217,0.2790679914187425,0.8145639895860877
0.047644789376089895,0.015010596028620558,0.29916367838826674,0.6672719633062982
0.04942937367008509,0.01894619377040186,0.5245617914143245,0.679479764371648
0.051431933897213095,0.019397682715034135,0.26126193230111017,0.9560080745152847
0.04914278924075111,0.017789265506887263,0.4307195939627514,0.6557640325846116
0.052562727835893025,0.020870229579637106,0.2999005325706918,0.9499134675851666
0.046621628305129004,0.015528074304213518,0.5076516553351473,0.5520150430302038
0.05170947024462148,0.01943877234964647,0.28299697052501416,0.9225282897352582
0.044978231632549784,0.011474804607099515,0.3051655735502594,0.47430547053081196
0.04770744928118702,0.016440018919062317,0.4281470751345313,0.6376168456010376
0.05091257372637315,0.019851540490061364,0.420839194830505,0.750296509447394
0.05442458799826255,0.025256669801927714,0.588502538758777,0.9563411560965762
0.0476774870338334,0.015506365758571734,0.3031487929128419,0.7016900234534847
0.05087843014694315,0.020894598598226646,0.5253850643089647,0.7867257985749005
0.054182251483230755,0.025018659191563847,0.6076659928309617,0.9395732569336486
0.054429673189448614,0.025176673102476704,0.5848478303799396,0.9379640214006458
0.05223524934422777,0.02012558570408189,0.31200122476354164,0.8808973734453301
0.0460782226925342,0.014860659553569109,0.5909191828708167,0.4706395504825087
0.053170806842439945,0.02260202758269598,0.446684357922953,0.9156089773893052
0.04947892424001814,0.01732420288770759,0.3141564753397158,0.7830661015922534
0.05377732399382475,0.023160802948947373,0.4511420910437506,0.8876179498260922
0.05218536249562208,0.02189691676898794,0.5223555824783489,0.8279729616205687
0.05345556806765993,0.02342448079531002,0.4116165860433564,0.9824186868162208
0.05149742763676758,0.020597848700286088,0.40005836529743666,0.8045238840812994
0.04504546754098622,0.01392136453856048,0.5457978467307615,0.4644993975233511
0.04676385659338049,0.01628923305017987,0.6952735794968214,0.5085584537170615
0.048772924356366626,0.01773932076907983,0.3875115973077641,0.7244417642557284
0.05045258750604317,0.018620430303308823,0.35021496278060404,0.7439084386649326
0.0466145665267686,0.014677469763675868,0.5019280296913251,0.4846339256976062
0.05380106002455692,0.02470091092412259,0.6180468290347179,0.9360201119859985
0.05029949765148407,0.01947927502352223,0.4691914167617357,0.7552108374934957
0.052049413247055795,0.020965682208908678,0.35851579140519896,0.8634372736665614
0.04734037707411266,0.016413248767069212,0.45562060777797164,0.6095075343901427
0.04438036387271046,0.013805095958934102,0.7309904951985828,0.4350758755745563
0.05062209178480233,0.021265422308060618,0.7148778843004535,0.7125810342819476
0.05195169663988594,0.022013289764003297,0.6200516289208944,0.7572505878221837
0.05023791325733889,0.02009347783219776,0.5936009262700741,0.6727931848188172
0.04987862576708345,0.019237440152858405,0.5659569853417831,0.6440518167377731
0.04923088990537523,0.01839138895711273,0.5413823112441062,0.6142105600260319
0.040958702309927195,0.008747564564315857,0.643992997225587,0.28602183460876773
0.04648435693584935,0.014055467775901581,0.42382895893733163,0.5260376930976272
0.047584995049746406,0.017325627542310252,0.6723408092410892,0.5796546116980207
0.05256481639044608,0.023042560212290723,0.5157840257748534,0.9080832159430101
0.044422494005646414,0.012402512816168831,0.6055580210348411,0.38433220943498536
0.05029901432190109,0.01738051146382959,0.289087768860955,0.7922108947203322
0.052013831252467994,0.01914865606697444,0.26804805444995095,0.9148748161003396
0.050222606509618205,0.020907083528679222,0.7678617338586358,0.6846344524368508
0.054572555382610285,0.023098434236799453,0.32877354613410203,0.9990118032036998
0.05345209726243173,0.02196476589906675,0.30458727881828274,0.9785844884541764
0.047884732366288686,0.016339883965949913,0.33533714870799836,0.7232731079380589
0.05363864415768267,0.024572096037278352,0.6225249261957609,0.8865721897745233
0.05291703496701832,0.021155019877448125,0.31168294085357495,0.91489192981774
0.04540233512795585,0.013883375953751897,0.5974126576771378,0.4582819867330171
0.051234061923063734,0.021001427655593218,0.43131266156274706,0.8323914616281877
0.0520683076099267,0.022926101525987088,0.708955181249308,0.77444394095614
0.04574551847763772,0.011996283532976212,0.3330185951815583,0.4908341224716629
0.054390583204161146,0.02574694176990029,0.7273267210959443,0.9515734821729345
0.05244155541106856,0.022406806269937476,0.4748404418419372,0.9215354186748396
0.04828175579274433,0.017841920593475287,0.5418837264572933,0.605793240185458
0.05064937945650826,0.020773680059499137,0.5225257915619202,0.7592495951505543
0.05398141651479506,0.025138665685482526,0.6917419720047037,0.8815377485612859
0.049563207263301615,0.02023399106622631,0.75175061402517,0.6885711435369696
0.05227749318516272,0.02236251221227504,0.6310015997330178,0.7864347966787497
0.05246424516433608,0.02282890474968964,0.6278765907460162,0.8384088370738629
0.05546228113204318,0.0249430515522512,0.43703749595244235,0.9725214918560673
0.050474927633697556,0.021443296183346887,0.8257272932568152,0.7131556251753031
0.049998725192242584,0.020856481703081506,0.7316918325683129,0.7104387300980202
0.053872146701937164,0.02471813774961574,0.6641977776297814,0.9226318388673715
0.04227860373920577,0.011371144744847614,0.8067632991986221,0.3509278766423124
0.046094813473844524,0.010991070866318904,0.2544169680267764,0.5064080572093316
0.05275922184792068,0.02199800610868525,0.4872484463662847,0.8381381029304248
0.047743975900622654,0.016139107844377817,0.3980941964582959,0.5946716717945634
0.04981625633633561,0.020773004883737234,0.7841928709684161,0.6884163960310772
0.04967659536225123,0.02010287906390857,0.6061408712355024,0.7117228897683079
0.0506363657330077,0.02116306186259372,0.5864445835809512,0.7669905080670464
0.05216958999540036,0.022569040170065467,0.5410019207687192,0.8919166376488322
0.05022750377638275,0.019716661841863443,0.40507344108865173,0.8425833606614669
0.05526294394272022,0.026950949528475578,0.7592401623168413,0.963394612593009
0.052258855553361835,0.021373848423285755,0.5016920226404387,0.7787570582570441
0.048990831149733634,0.018749211979921392,0.5460307565740709,0.6395170929231351
0.04914325701922615,0.018041498362695856,0.5672354789469358,0.5972268774339644
0.053797080685036226,0.02432050506578344,0.604802032849946,0.8470415082273567
0.05400369571585822,0.024707321439602435,0.6985617485312554,0.8742323342818809
0.05159618558429287,0.02123634698676443,0.3684491385129469,0.9248208348213223
0.05085600287384756,0.021426813172370156,0.5758477108119286,0.794892187015318
0.05461692967887916,0.026336486292861783,0.7555887913590037,0.9598048698598737
0.05546967139442737,0.025406379224008957,0.5301719671751279,0.9770408061825591
0.051264379576436224,0.020130810301673727,0.4101278486016614,0.7500780475925339
0.0524575549115686,0.023350059191245217,0.7676255558806454,0.7717958670167093
0.052797759888448,0.023082850937981736,0.503357204545916,0.9473963916113103
0.05372488100029804,0.024182519867458768,0.6704655361574796,0.8443893927974047
0.054022816075028325,0.025518943745033523,0.7451382360054858,0.9494001191897238
0.05158772512647842,0.020883960399271283,0.43942852167969626,0.7685216284964447
0.04646018750855462,0.015489355682925792,0.5527573640389065,0.5550065513098129
0.055942030696987534,0.027963189696642368,0.8738428501389114,0.9964181590569804
0.04827770481574812,0.018459367091678516,0.59817570875479,0.6556533724629873
0.05276134255919843,0.024438734262070633,0.8825682269154704,0.8410577189328027
0.05477539349763314,0.025909236928212807,0.7421003986924504,0.8910609446756645
0.05191996920014488,0.022545361485099606,0.6227847573776432,0.8513625390452196
0.048452634400083586,0.014989422402905545,0.28563227557914916,0.6211638217750335
0.05486971650011887,0.025215279689789732,0.48968233831723174,0.9560998236830122
0.04745753126894189,0.01826841625987532,0.885236588847406,0.5815241492136519
0.04705870111606957,0.017070545465916992,0.8322422244023853,0.516366012327397
0.05229380064155264,0.023849626779469342,0.8975751203645117,0.7970424371307103
0.05256979776968883,0.024028264786422854,0.8903420970603478,0.8123630412311094
0.05477885543625437,0.023296206572657782,0.368798949414201,0.9538322695704095
0.051488962913137225,0.017387762625932987,0.21831752359196444,0.9017945671732064
0.04763992133555094,0.01737318316985955,0.6525543351178158,0.5413413668856912
0.05292541271360656,0.023824648982684993,0.6165589691842766,0.9219948024652739
0.049411635485964875,0.013324333769926831,0.15758740593207898,0.8123597150705425
0.04984365584045794,0.017656523260545766,0.35919618755933513,0.66923874793177
