beta,gamma,alpha,l
0.060507140390421266,0.03892230044303223,0.9419074887891947,0.138198125999621
0.05817645340596333,0.03662389712448183,0.9162066454123398,0.12928417641793677
0.0666405066508721,0.045997659434540844,0.9574815544302226,0.1716617679171608
0.05589367656042005,0.03399683250425842,0.943265965658103,0.11147761622127839
0.053802305179845196,0.031888066251870295,0.976284574911932,0.1093365743852418
0.05434121666037732,0.032149639848947774,0.9986350543986346,0.10689212370184198
0.05878945885171806,0.037250672291449696,0.8548132894544326,0.13212931572771003
0.07026170213328825,0.04944856092636388,0.8655871112868504,0.1840960322902463
0.06313249732158215,0.04190992307793426,0.838698649420672,0.15068506030142592
0.06055945586678523,0.038802096639667716,0.985198335369682,0.1274846926121732
0.05285733630672263,0.030793089034769048,0.9813851981651751,0.10642418377417107
0.06760158578541095,0.04647211892967424,0.7316398197997708,0.18780051309263612
0.05272782036774499,0.030025456345759108,0.8379188842236086,0.09962457426996107
0.07211719922100529,0.05063779513622198,0.6599997235171796,0.2113148805554641
0.05064997461332363,0.028181060497945387,0.8504940205034817,0.09236306416222717
0.0664168819486876,0.04579687893018166,0.9740561499498646,0.1864615846131784
0.061314018089225535,0.03933214460521074,0.7711025899561755,0.13255374898212224
0.04772912784857977,0.024951768962280824,0.8778665475078193,0.083501922618607
0.0589976510907363,0.036573233180570736,0.6878265498469903,0.13403961627715988
0.0487560175498042,0.025934651015232346,0.969899113511571,0.08099892992044866
0.05354960837752669,0.031267619369847614,0.7292995809368139,0.1103278027960457
0.05248001789064541,0.029846341787302434,0.844478901640489,0.09404854297902887
0.051145962745619424,0.0280310753387458,0.7911523235596769,0.09153505822017782
0.05309500973931677,0.031083538906824422,0.8137114956382794,0.11046001234993874
0.06315931796397635,0.042190120657791,0.8234109520513678,0.1568345877384023
0.05549115538368222,0.03365186450698953,0.8521823081498704,0.12347462684062371
0.06417540898115327,0.04275790746564162,0.8807199171020736,0.16729255022594813
0.05657634245103174,0.03429690902173992,0.889197600827678,0.12149595637193034
0.047015131511926656,0.02415500492076148,0.8427649022092506,0.08368118717018846
0.05036722039627554,0.027822645062247263,0.7537033818317188,0.09787457524324572
