beta,gamma,alpha,l
0.11566768483767292,0.025545741532828813,0.7505797951119343,0.8900696834046709
0.13017556683708364,0.03360474197360308,0.30125379760114324,0.8875049578751558
0.03011379662010145,0.015832092474458045,0.6170645753055334,0.6541816556038821
0.0903965364791445,0.022051954613939433,0.5303310869715541,0.9921855674672032
0.05780171635474295,0.03133276144100194,0.8892909055428002,0.6658945454197084
0.12968779721602003,0.026607483792542595,0.21803123551878822,0.7957798723466263
0.07164512348808416,0.01871873937127813,0.9467978299627372,0.9962653000143266
0.22072811705168055,0.0422601409452571,0.11851079588028435,0.4245747348642619
0.09604553204406158,0.022473738540067886,0.6348691855122328,0.7513629484270679
0.0805480635797441,0.0511855215719587,0.7712271571115924,0.36462860472552294
0.13246813565749632,0.027400788388211215,0.434054189305513,0.5819600599471275
0.08178899913259063,0.04511159109249487,0.9924476183197887,0.4687489101267399
0.1653354316840107,0.027960792928008165,0.7489427938315145,0.49831649660422395
0.03786686706611531,0.022222335609016923,0.4735339224161226,0.6501346145913324
0.15427010645178096,0.043920021646346195,0.21840158315796554,0.5032831135958736
0.1451181789421552,0.042853877869968054,0.5470073324382434,0.24953206638799796
0.1800291277672854,0.048412894719913335,0.3026241801463784,0.906386707683061
0.07601972126137047,0.022602985089392243,0.3651161043606783,0.9743854494145415
0.033442158829028595,0.028475133813312646,0.5426096173745049,0.4680515887094766
0.14975977897072232,0.033084487207594854,0.36427688729044405,0.45128037032960056
0.13605036674854065,0.04200348054431615,0.8242839571876148,0.940110033508176
0.0846494926011147,0.034477185579156036,0.8802066408245759,0.23669591022626957
0.15246674939975546,0.03256111635777207,0.524630355760577,0.7671294947093911
0.040239935490249505,0.0252387263637329,0.740146918276076,0.8656935081960354
0.13192742544327107,0.033387612439720736,0.4010405555100107,0.8600987353814489
0.05696206061460668,0.020896193472815856,0.8349803109153919,0.6502904490579137
0.0840171583744109,0.024670864287746716,0.5062163997797853,0.29966718664824776
0.193468664245507,0.040573377225642075,0.5538494703977124,0.6314459554878311
0.11314937035186438,0.054422349332164915,0.7288297930258624,0.5174564767095825
0.2109033198829001,0.03696939039444143,0.22407032727065068,0.26558587103305975
0.05564349484502056,0.030404621495623733,0.7697514820801384,0.9523550594466168
0.058347478702915914,0.0325129573289765,0.30347547114297646,0.6692450178331688
0.08983565137495796,0.041857487292519265,0.723869215048315,0.46034478475116647
0.045549876025866305,0.04174698519054755,0.393054286770939,0.3144791540364965
0.12769559190610408,0.03680421254467755,0.31605714094095894,0.9057864522409967
0.08405394739683959,0.028016261537211113,0.6815673578653855,0.8774688022641273
0.05285549070397027,0.02810672036833954,0.7319731461265491,0.6781482799375652
0.07228798480210673,0.023536573224008504,0.02476730221748169,0.7477802195630406
0.06431243702327526,0.023834656392071857,0.1737744630720972,0.10209251570514566
0.1594919783663539,0.028913711470456915,0.8233152366981963,0.22372922019047548
0.1706732415214111,0.028525320174508012,0.7699601492797883,0.4923644223237714
0.15607766208469206,0.04181415393384196,0.1957977433950382,0.8926317716488904
0.07119350640750724,0.028571716204819388,0.20482955875513964,0.7658542152198031
0.1072811337429702,0.019772287697741465,0.20849645090399005,0.8676746667317157
0.08718599293905079,0.025279172766075046,0.011405959825358858,0.49482183694640847
0.08803299024516695,0.022480769935598374,0.8393191576435188,0.6472238299944918
0.14524313395867203,0.03041858152736194,0.401348990401872,0.4141694298298755
0.14979823031989428,0.04598730859367473,0.12845669503937873,0.5104376034319489
0.08424072841558554,0.030909854551079183,0.2925893146338675,0.04529134682550018
0.14974691986323863,0.02788333287494452,0.14707708402921427,0.7389089752856653
0.1552228583085254,0.03209595474713093,0.9508455660078317,0.08146468724134592
0.12129612871804042,0.04412410998603222,0.17050329278562049,0.5974024805690646
0.0482567107812392,0.018253646297690346,0.12185918410886476,0.9098246330500173
0.13883222505838297,0.024266819655269306,0.20863648238610655,0.6748386241912527
0.07354584496722515,0.03533865774284356,0.39586298101842454,0.7618617395487768
0.09828071625498341,0.026742312812708047,0.07340315772125738,0.796353759284997
0.08755518643934668,0.034182494018877706,0.6821783098656866,0.6456350700487399
0.21116269339677105,0.05146043089561827,0.6820587556781345,0.06701165917947638
0.1763561025713932,0.03466128234813797,0.6316201055849302,0.5422675919127639
0.2552644519924961,0.04431545791472085,0.964007620732294,0.7675791082185277
0.05733902731947462,0.02545665419233091,0.61947609337352,0.3019530275939132
0.19355322347575044,0.03594543951345433,0.45623821523841845,0.01162091335683324
0.2629358604776911,0.04612610322524047,0.22530432573971537,0.883334863351421
0.1687184761628941,0.029530507976310252,0.347596471474081,0.9704196434669138
0.11089486734514072,0.027974225700212116,0.7165902394867891,0.2725333506061781
0.09381634199558418,0.017147998517782093,0.5378636990585692,0.9508399828692222
0.1005083516854235,0.03807857538491046,0.9739862862327133,0.22723281684567465
0.1115185934196207,0.04217423638189546,0.12974255392287548,0.3300659668749234
0.1603835038809781,0.04235050278266651,0.3076723320722272,0.6240594386378353
0.05860661136460177,0.03398245143270603,0.5141616863189156,0.4886222239653094
0.19071295135157534,0.04176542299195459,0.21611460796621773,0.4939088505707159
0.08132449912729744,0.04494389337155566,0.6992485200447335,0.6593715001389463
0.1466624161939804,0.04259153566041561,0.031954278015046134,0.05828519893603179
0.14172311341610275,0.025889326875436464,0.8680201287204813,0.22540505858447712
0.11739451054243219,0.037870515990163445,0.47888980317376817,0.23684062529563077
0.1605843354129901,0.04232038486326822,0.2272450097915194,0.40189262690224903
0.05852943373162596,0.01760832475464935,0.8438838482560274,0.6110001826054987
0.053124623977457784,0.03363071233475517,0.9717041020470547,0.3921878457489034
0.09484712405619292,0.023618672587598,0.949937053746383,0.5671432962865145
0.08842827741086579,0.02239149847419944,0.957530909010847,0.7720851400151153
0.15366558298814437,0.03002223929224278,0.8845454081227948,0.8086805945919249
0.12912012829489564,0.03859817995244342,0.23911469151673825,0.3262166118803098
0.0665637359735754,0.015706040820661172,0.1982024484018171,0.6234159191863224
0.12930482799241363,0.04486287509904053,0.6947841503535361,0.15525657076085908
0.032965564343071435,0.02633669619503913,0.5274964130727502,0.6922380515243841
0.10542942981259226,0.02013835004610632,0.7445455608368521,0.2816739739986487
0.15073919121152995,0.04595528273272085,0.44259578536393496,0.09691427960012633
0.17064941866373912,0.04508917134004414,0.31453561059336466,0.1021386939910045
0.14771084313656296,0.042512480003308296,0.10208286610914252,0.05683242230458241
0.1427011960749562,0.02683277056216936,0.4694113378364395,0.5693376881074489
0.05774617098952731,0.02491807056414155,0.9816016338236809,0.5795196176925473
0.14044695587209333,0.024863633401659476,0.19303365084770785,0.3010227501167575
0.10842371711071788,0.026204948955050506,0.8395726510037915,0.49872654244165326
0.06640670279466207,0.03113281959616604,0.23629972235187013,0.6560920832682131
0.13617650436513679,0.02955259865377579,0.3931179074879988,0.1717861811106648
0.03635488699249943,0.02009425297718583,0.963777493891471,0.30412657640375684
0.09669874661008344,0.026815063546354725,0.25983729511376075,0.8396871199739148
0.11010649041687366,0.03681599617722027,0.16209669526529824,0.4751936343690756
0.13787631466754208,0.024077401338518177,0.7182917243844106,0.6243838356999872
0.07963219441967946,0.020383750956598626,0.8668279235171438,0.32177768111448757
0.05809666845209051,0.01778091866242672,0.19956348427272952,0.9866421812420813
0.08590050974502317,0.025553574024976267,0.11562780796375716,0.11162130601882947
0.08771986462998045,0.029211371446503563,0.3300836769949185,0.08965856069485223
0.04693651895546459,0.020634853410054756,0.09443191669756035,0.35521869369238135
0.10244483521607956,0.0243905146915623,0.21020369133274153,0.10405428003112704
0.06995936261021864,0.04084078854721991,0.13766927021313946,0.3475137370065239
0.18588047794288842,0.04728954265536108,0.7488732527150211,0.8115205421030597
0.07844184192012349,0.05143013034151515,0.3883999495822483,0.6234233682147433
0.20337077689793617,0.042702044162314136,0.58415358533223,0.36186674123756546
0.07990275694005088,0.02655639809503758,0.4485498435355012,0.41711149972368533
0.05657198686768465,0.021424163118478987,0.37129036781171,0.3603274831376837
0.14175896903502613,0.053226629705436124,0.8733329512344338,0.2959607405982616
0.17449794553990955,0.03403933101378563,0.7330289540892461,0.979785882381594
0.100935319225016,0.025664990639527686,0.17979728377547355,0.35062882670301887
0.052919882100734825,0.03595253776080862,0.3874489817457535,0.8998377406675182
0.04157815115489719,0.0202262286937158,0.7798961353389202,0.3178086086234093
0.02614870139811256,0.026005634565327472,0.20253350538529125,0.8520673318740467
0.044918573275233825,0.030483321858488545,0.08889642156015742,0.8812076249140132
0.05832543340836901,0.035201438215236795,0.09636874199433909,0.2174832352269087
0.038961086998620276,0.03874702110090216,0.6877276014448305,0.011828981855430687
0.0535305319719508,0.024589974161285687,0.9009768096767966,0.5428879453758307
0.09803129282172254,0.03731634160741041,0.9880159382772811,0.055372842807281275
0.12207824909310669,0.02931677870846952,0.3155281880986329,0.2984840778801503
0.13897834705778422,0.030865086126438325,0.6696011180318064,0.4751916770336354
0.11672191566629503,0.027844300147918742,0.37692210555399097,0.6054061526281854
